sentences,labels
•.ÅEORKSTORE,0
5-Jul-18,0
1271802848,0
WORK STORE LIMITED (Formerly Known as Staples Future Office Products Limited),0
C/O. Ingram Micro India Pvt. Ltd Gut No. 826,0
"Old Gut No. 827. Nd. 5/0334, Puna 412207",0
CIN No.:U7499MH2007PTC1666866 1 MSME No.:MH19F0008279,0
1 19-Aug.2018,0
Original,0
Duplicate,0
Triplicate I,0
Wipro Limited,0
"Devdloper, Special Economic Zone. Plot",0
"No.3,'1 MIDC, Phase . Il. RajiV Gandhi InfoTech",0
"Park; Hinjewadi, Pune",0
Wipro Limited,0
"Developer. Special Economic Zone, Plot No.31,",0
"MIDC, Phase - ll. Rajiv Gandhi InfoTech Park,",0
Billing Details:,0
cust. Po. No.,0
cust. pan NO,0
55001 16325,0
pun e,0
State,0
OCCE,0
1801050,0
.41 1057,0
.27-Maharashtra,0
Hinjewadi. Pune,0
P une,0
State/Place of Supply,0
GSTIN No.,0
1057,0
27 Maharashtra,0
PUN0575997,0
:27MACW0387R3ZL,0
Rate(Rs.) Taxable,0
Value(Rs.),0
7.900.00,0
"3,950.00",0
Cost Center : Facility,0
Department Facilities,0
CGST SGST IGST,0
HSN Code,0
Item Description,0
84733030 - Hynix 8GB DDR3.,0
PC3L-1Rx8-12800S(1600MHz),0
Laptop,0
QTY,0
UOM,0
2,0
pcs,0
Cass,0
Item Code,0
10048390,0
o,0
O,0
o,0
o,0
Amt(Rs.),0
"7,900.00",0
7900,0
SEVEN THOUSAND NINE HUNDRED RUPEES AND ZERO PAISA ONLY ),0
Terms and Conditions of Sale,0
Cusiomer shall ensure that it does not accept delivery of any product whose,0
2 Producls can be returnedkeplaced within 2 (two} days Of the dalivery il the,0
"No. 395010200002431. Axis Bank Ltd. Tardeo Branch, IFSC code, UTIB0001345 &",0
MICR Code. 400211084.,0
"5. Wor,kS10r9 will comply With the provisions o' CST legislations Including filing its",0
"Reg. dlfice address : Work Store Limited Knowlega House. Shyam Nagar Off. JVLR , Jogeshwari East, Mumbai • 400013",0
Mumbai - 400018,0
"Corporals Address: 2nd Floor. Apie Properties, 10/76, Off. Dr. E. Moses Road, Wodi,",0
Web: I Emaii : oasy@workstore.ln Call us : 1800-210-7000,0
sco,0
( 0) -Empre,0
EMvOCE,0
FLOWERS CASSIE.,0
ACCaJNTS DEPARTMENT,0
THE BOSTON CONSULTING GROUP INTERNATIONN.,0
TRNP0287732000003,0
'NWNA/JANUARW201Y,0
BCG PROJECT COOE DUW/BBD.OI,0
"AL NiYM,",0
RASH'D AL UAKTOUM STREET,0
90 sox 109619,0
ABU OH AN,0
DESCHTON,0
STAFF TRANSPORTATDN FORTE-ik,0
2019 {DETAILS ATTEHED),0
UNK ACCOUNT DETAILS:-,0
BUNCH MME UUMFFAH . ABU *ABI,0
SWtFT CODE,0
CODE 804020101,0
TüRUS & CONNTONS,0
Proared,0
Saks,0
Empxre Rent.' Car,0
4971 2 639,0
Empire,0
Rer7ta) Car,0
NTE. 31/JANUARY/2019,0
"26,600.00",0
"26,600.00",0
( -Empre,0
Empire Passengers,0
ENVO\CE,0
FLOWERS CASSiE.,0
ACCOUNTS DEPARTMENT,0
THE BOSTON CONSULTING GROUP INTERNAT!ONAI.,0
TRN#i00287732000003,0
'NWNA/JANUARY/2GIY,0
"BCG PROJECT CODE DUMM/BBD,OI",0
AL NIYAD! BUILDING,0
RASH!D BIN SAEFD AL MAKTOUM STREET,0
ABU OH AN,0
UAE,0
DESCRIPTION,0
-tRN#10C349469500W3,0
Eåiaü ummernat@gmai.com,0
STAFF TRANSPORTATION FORTHE,0
2019 (DETAILS ATTACHED),0
BANK ACCOUNT DETALS:-,0
"BRANCH NAME MUSAfFAH , ABU DHABI",0
SWtFT CODE NRÅKAEÄK,0
ROUTING CODE 804020101,0
TEARMS & COND*T'ONS,0
Prepared hy,0
+971 2 639,0
"26,600.00",0
"26,600.00",0
Facture,0
THE BOSTON CONSULTING GROUP GMBH,0
ALEXANDRA SCHALL,0
AM HOF B,0
1010 WIEN - AUSTRIA,0
NUMERO,0
69840,0
Référence,0
27/11/18,0
Déslgnatlon,0
Volre NO inlracornmunaulaire :,0
AT 042 944 702,0
IBAN : FR 76 1189 9001 3300 0104 1640 106,0
BIC : CMCIFR2A,0
Qté,0
Escompte,0
"o,oo €",0
PX unltalre,0
1 336.50 €,0
Remlse,0
Acompte,0
0.00 €,0
Montant HT,0
"1 336,50 €",0
Code,0
2,0
Base,0
1 336.50 €,0
1 336.50 €,0
Taux,0
Montant,0
"o,oo €",0
"o,oo €",0
1 336150 €,0
"1 336,50 €",0
le vendeur se réserve le droit de reprendre la chose /ivrée et de résoudre le contrat,0
L 'Art D441-5 du Code de cormnerce dispose que le montant de {indemnité fortaita/re,0
pour frais de recouvrement est fixé 40 euros. Pas d'escompte pour paiement,0
anticpé. TVA acquittée sur les débits.,0
Conditions de réglement ;,0
Virement,0
27/12/18,0
35,0
2,0
nordnet,0
FAKTURASPECIFIKATION,0
Fokturanr,0
Fakturadatum,0
Sha,0
Fakturaspecifikation,0
"Pensionsavtal för The Boston Consulting Group Nordic AB, 556736-2008",0
Bokföringsperiod: -,0
Förmånsgrupp,0
Tjönstepension (F),0
Summa,0
Ingående balans,0
Summa premier,0
Oresavrundning,0
Totalt att betala (SEK),0
Se sista sidan för ord*lsta,0
Skatteklass,0
403539903,0
20190122,0
Premie,0
"375 719,00",0
"375 719,00",0
"O,OO",0
"575 719,00",0
0,0
"375 719,00",0
Nordnet PensionsfärE&rlng AB 14 Box 14095 SE-%57 M Brornrrn Tel: +46 8 506 355 05 •46 505 330 67,0
E-mail; pension@nordnetse wwwnordnetse Org nr. 516405-0265 Innehar F*koEtsedeE Styrelsens sate: Stockholm,0
113311,0
V. K. Mundaye,0
0 9869250955,0
New Way Travels,0
"Regd Off.: 30, Sarvesh Co. Op. Hsg. Society, Rambhau Mhalgi Marg, Near Jiiamata Hall, Thane (E), 400 603.",0
"Office: Shop 7, Bldg No.417, Tagore Nagar, Near Vidyamandir School, Vikhroli (E), Mumbai - 400 083. Email",0
"TO,",0
"TO, WIPRO L'I'D,",0
"UNIT 701, FLOORS A- WING,",0
KENSINGTON. SEZ.,0
POWAI MUMBAI - 400 076.,0
DATE: 21/07/2018,0
July.,0
SR.NO,0
1,0
2,0
3,0
1ST,0
1ST,0
TYPE,0
INDICA CNG,0
INDICA,0
SUMO,0
KM,0
19722.9,0
17713.05,0
6435.7,0
2018,0
10,0
11,0
12,0
AND THREE PAISE ONLY.,0
FOR NEW WAY T,0
AL,0
NT,0
198609.6,0
203700.1,0
483721.3,0
ES,0
PROP IETOR,0
SAC CODE NO,0
PAN NO.,0
ARN NO #,0
96601,0
AAMPM6339A,0
. 27AAMPM6339AIZP,0
AA270417006215G,0
Vehicle Type,0
EECO,0
EECO,0
EECO,0
EECO,0
EECO,0
EECO,0
EECO,0
EECO,0
EECO (4+1)Total,0
Vehicle Type,0
INDICA,0
INDICA,0
INDICA,0
INDICA,0
INDICA,0
Vehicle Type,0
SUMO,0
SUMO,0
SUMO,0
Vehicle No,0
MH 02 CR 4097,0
MH 03 BC 0895,0
MH 03 BC 2047,0
MH 03 BC 2208,0
MH 03 BC 2599,0
MH 03 BC 3982,0
MH 03 BC 4208,0
MH 47 N 5434,0
8,0
Vehicle NO,0
MH 01 CJ 1036,0
MH 03 CH 4049,0
MH 03 CP 2026,0
MH 47 C 8414,0
MH 47 N 2819,0
5,0
Vehicle No,0
MH 02 ER 4338,0
MH 03 BC 6848,0
MH03 CH 0634,0
3,0
16,0
Days,0
15,0
10,0
14,0
13,0
3,0
15,0
15,0
12,0
Days,0
15,0
13,0
15,0
15,0
14,0
Days,0
12,0
13,0
13,0
84,0
19,0
70,0
59,0
14,0
73,0
75,0
68,0
92,0
83,0
77,0
75,0
63,0
61,0
50,0
39,0
Restricted,0
3785.8,0
657.1,0
3123,0
2393.8,0
478.9,0
3370.2,0
3251.2,0
2663,0
19722.9,0
4191.2,0
3574.9,0
3189.5,0
3514,0
3243.5,0
17713.05,0
2542.7,0
2252,0
1641.1,0
6435.7,0
43871,0
PER UNIT,0
10.07,0
10.07,0
10.07,0
10.07,0
10.07,0
10.07,0
10.07,0
10.07,0
PER UNIT,0
11.5,0
11.5,0
11.5,0
11.5,0
11.5,0
PER UNIT,0
12.65,0
12.65,0
12.65,0
38123,0
6617,0
31448.1,0
24105.6,0
4822.5,0
33937.9,0
32739.6,0
26815.9,0
198609.6,0
48198.8,0
36679.3,0
40410.4,0
37300.3,0
203700.1,0
32164.5,0
28487.8,0
20759.3,0
81411.6,0
483721.3,0
St no,0
1,0
2,0
3,0
07 APO- 2018,0
Vehicle Package,0
Indica 4+1,0
Indica 4+1,0
Indica 4+1,0
Contract rate/ km,0
9.15,0
g. 15,0
10.2,0
Present rate/km,0
10.07,0
11.5,0
12.65,0
KM,0
19722.9,0
17713.05,0
6435.7,0
198609.6,0
203700.08,0
81411.61,0
Toll extra km,0
o,0
o,0
o,0
o,0
o,0
o,0
o,0
198609.6,0
203700.08,0
81411.61,0
483721.3,0
6/19/2018,0
wiprOe.S}}},0
SUPPLIER:,0
New Way Travels,0
"30, Sarvesh CHS, Rambhau Mahalgi Ma",0
Thane (East) 27,0
400603,0
India,0
Phone: +91 25324202,0
Fax: +91 09869250955,0
STORAGE LOCATION (SHIP TO):,0
Wipro Limited,0
Wipro Limited,0
"PowaiSEZKensington""A""WingSpecialEconomicZone PowaiSEZKensington""A""WingSpecialEconomicZone",0
MUMBAI 27,0
400076,0
India,0
DELIVERY CONTACT:,0
Yogesh Turbhekar,0
Asset Class:,0
Validity Start Date: I-Mar-2018 GMT,0
Validity End Date: 31-Dec-2018 GMT,0
SAP PR ID:,0
SAP PR Source:,0
IncoTerms: Door Delivery,0
VendorC0de: 0005060489,0
Vendor GSTN: 27AAMPM6339AIZP,0
Buyer GSTN: 27AAACW0387R2ZM,0
Requester: Yogesh YOGINTU,0
PR No.: PR81654-V2,0
Warranty: NA,0
Vendor Location c;snu: 27AAMPM6339AIZP,0
LINE ITEM DETAILS (2 LINE ITEMS ),0
MUMBAI 27,0
400076,0
India,0
NO. DESCRIPTION,0
I employee cab transport-,0
Newway-JFM,0
PART,0
QTY,0
each,0
31-Jul-,0
2018 1ST,0
Full Description: employee cab transport-Newway-JFM' 18,0
https://s1.ariba.com/Buyer/render/1 WZLTUY5B9718,0
INR,0
RATE,0
CHARGES,0
INR,0
AMOUN-,0
0,0
INR,0
AMOUNI,0
Pre GRIN/SE Entry Sheet,0
Entity:,0
Location:,0
Text:,0
CostCode:,0
Taxes:,0
#NAME?,0
10,0
20,0
30,0
40,0
50,0
60,0
70,0
5500114928,0
WTOI,0
GSTN: 33AAACW0387R3ZS,0
CDC5,0
CDC5-Sholinganallur,0
Ti172,0
IGST @,0
Particular] Short Text,0
Security Guard/LSG,0
Security Supervisor,0
Security Officer,0
Access Control/lD Card/CCTV Operator,0
Assignment Manager,0
Surveillance Officer NCO,0
Arrears value,0
V.Code:,0
Name:,0
GSTN:,0
Periord:,0
Qty,0
241.001,0
20.769,0
3.462,0
15.77,0
1.923,0
2.731,0
6.4,0
2023204,0
G4S Secure Solutions (India),0
33AAACG1625QIZL,0
D107000189CHN18,0
23.07.18,0
Apr.18,0
"17,104.17",0
"21,169.28",0
"27,874.97",0
"21,003.79",0
"32,750.00",0
"41,846.89",0
1,0
"4,122,122.07",0
"439,664.78",0
"96,503.15",0
"331,229.77",0
"62,978.25",0
"114,283.86",0
6.4,0
"5,166,788.28",0
Sensitivity: Internal Restricted,0
ORIGINAL FOR RECIPIENT,0
G4S SECURE SOLUTIONS (INDIA) PVT. LTD.,0
Billing Location :,0
"NEW N049, OLD NO 42-A, C.P. RAMASWAMY ROAD,",0
"ABIRAMAPURAM, CHENNAI - 600 018",0
PH: 42054444 FAX #42064444,0
GSTIN:33AAACG1625QIZL,0
Service Cat or,0
"Wipro Limited,",0
ELCOT SEZ,0
"Survey No.602 & 603,",0
"Sholinganallur,",0
Chennai - 600 119.,0
Securit Services,0
HSN (Services) .,0
• 9985,0
Reverse Char e A licable : No,0
State Code : 33,0
GSTIN/UIN:33AAACW0387R3ZS,0
/ AAACW0387R),0
Service Details,0
FOR SERVICE iDED DURING THE MONTH OF APRIL 2018,0
DETAILS GIVEN BELOW,0
AT CDC 5,0
ASSIGNMENT MANAGER,0
SECURITY SUPERVISOR,0
SECURITY GUARD,0
SECURITY OFFICER,0
ACCESS CONTROL OPERATOR,0
CCTV OPERATOR,0
Hours,0
400,0
4320,0
55592,0
720,0
1680,0
1120,0
480,0
No of,0
Personnel,0
1.923,0
20.769,0
267.269,0
3.462,0
8.077,0
5.385,0
2.308,0
2.731,0
Date.,0
23/07/2018,0
Rate,0
32750,0
21169.28,0
17104.17,0
27874.97,0
21003.79,0
21003.79,0
21003.79,0
41846.89,0
SURVEILLANCE OFFICER- NCO,0
Penalty 8%,0
OUR,0
PAN NO AAA-CG-1625Q,0
TAN NO DELG06743C,0
TDS Circle No. 46 (1),0
568,0
IGST @,0
Rs. Fifty One Lakhs Sixty Six Thousand Seven Hundred and Eighty Eight and raise Twenty Seven On:y,0
payment.advices@in.g4s.com.,0
For G4S Secure Solu,0
S017/000043/ADY,0
62978.25,0
439664.78,0
4571414.41,0
96503.15,0
169647.61 z,0
1 13105.41,0
48476.75,0
1 14283.86,0
-449285.94,0
5166788.27,0
0,0
5166788.27,0
•ons dia) Pvt.Ltd.,0
Manager ance/ Accounts,0
"Registered Office :C-16 Community CentreJanakpuri, Behind Janak Cinema.New Deli— 110058",0
Tel : 91-11-66222900 Fax : 91-11-66222901 web : www.g4s.com CIN - U 74920DL1988PTC031060,0
https•J/v•.sw.esic_iw'InsuranceGIobal Web V3/RevenueOneJMonthly Contr..,0
OSBI,0
"""Order",0
e-payOrder,0
Debit Status,0
CKF5955435,0
